"First Name","Last Name","Position","Jersey Number","College","Age"
"Patrick","Mahomes","QB",15,"Texas Tech",27
"Tyreek","Hill","WR",10,"Oklahoma State",29
"Jamaal","Charles","HB",25,"Texas",36
"Tyrann","Mathieu","SS, FS",32,"LSU",31
"Daurice","Fountain","WR",82,"Northern Iowa",27
