"First Name","Last Name","Injuries"
"Jamaal","Charles","Torn ACL"
"Daurice","Fountain","Broken and dislocated left ankle"
"Tyreek","Hill","Ankle"
"Justin","Jefferson","Ankle"
"Bob","Lurtsema",NULL
"Patrick","Mahomes","Ankle"
"Tyrann","Mathieu","Torn ACL, Torn LCL"
"Cordarrelle","Patterson","Thigh"
"Adrian","Peterson","Torn meniscus"
"Adam","Thielen","Ankle"
